X,Y,Z,Label
396009.582,3988177.277,1896.677,1896.677
396084.868,3988403.385,1896.788,1896.788
396038.872,3988025.565,1896.935,1896.935
396029.378,3988104.049,1897.088,1897.088
396009.777,3988201.492,1897.098,1897.098
396065.916,3988333.272,1897.110,1897.110
396074.302,3988360.267,1897.197,1897.197
396029.838,3988104.499,1897.436,1897.436
396070.370,3988346.781,1897.574,1897.574
396044.190,3988284.785,1897.600,1897.600
396048.570,3988301.532,1897.978,1897.978
396073.447,3988355.083,1898.003,1898.003
396011.143,3988196.645,1898.078,1898.078
396043.642,3988022.792,1898.082,1898.082
396071.315,3988341.835,1898.107,1898.107
396077.623,3988373.249,1898.291,1898.291
396061.789,3988323.975,1898.451,1898.451
396038.717,3988007.663,1898.764,1898.764
396028.633,3988255.428,1898.807,1898.807
396029.505,3988053.511,1898.886,1898.886
396082.878,3988390.732,1898.928,1898.928
396078.462,3988368.186,1899.034,1899.034
396013.065,3988191.860,1899.186,1899.186
396042.040,3988029.538,1899.249,1899.249
396027.851,3988067.819,1899.302,1899.302
396081.862,3988385.783,1899.321,1899.321
396029.555,3988063.044,1899.324,1899.324
396025.279,3988090.316,1899.450,1899.450
396084.420,3988417.477,1899.558,1899.558
396032.728,3988100.365,1899.560,1899.560
396065.178,3988328.060,1899.640,1899.640
396046.812,3988027.221,1899.717,1899.717
396080.495,3988377.547,1899.738,1899.738
396085.450,3988422.454,1899.919,1899.919
396058.099,3988314.476,1900.027,1900.027
396055.864,3988309.883,1900.059,1900.059
396013.679,3988186.504,1900.397,1900.397
396078.825,3988363.081,1900.467,1900.467
396072.299,3988334.547,1900.613,1900.613
396074.469,3988350.082,1900.682,1900.682
396048.608,3988022.035,1900.896,1900.896
396014.558,3988146.994,1901.091,1901.091
396086.945,3988395.078,1901.682,1901.682
396075.395,3988338.733,1901.730,1901.730
396053.164,3988298.687,1902.168,1902.168
396048.959,3988031.931,1902.259,1902.259
396015.958,3988180.029,1902.285,1902.285
396053.037,3988290.113,1902.336,1902.336
396078.809,3988358.040,1902.341,1902.341
396043.489,3988034.329,1902.365,1902.365
396055.164,3988303.435,1902.396,1902.396
396070.037,3988330.011,1902.409,1902.409
396031.341,3988248.898,1902.660,1902.660
396030.608,3988271.940,1902.709,1902.709
396062.288,3988317.382,1902.737,1902.737
396076.007,3988345.123,1902.903,1902.903
396054.108,3988020.922,1902.914,1902.914
396032.153,3988041.471,1902.972,1902.972
396066.016,3988320.893,1903.004,1903.004
396082.631,3988371.265,1903.297,1903.297
396015.531,3988174.769,1903.415,1903.415
396086.926,3988427.326,1903.628,1903.628
396022.727,3988227.155,1903.962,1903.962
396086.599,3988381.657,1904.062,1904.062
396090.404,3988423.677,1904.221,1904.221
396085.522,3988376.060,1904.310,1904.310
396027.932,3988237.469,1904.386,1904.386
396087.675,3988387.962,1904.580,1904.580
396015.788,3988207.168,1904.623,1904.623
396018.481,3988170.149,1904.653,1904.653
396052.998,3988027.908,1904.680,1904.680
396047.861,3988002.749,1904.690,1904.690
396080.155,3988353.146,1904.776,1904.776
396089.802,3988411.163,1904.781,1904.781
396083.610,3988365.426,1904.810,1904.810
396021.856,3988120.777,1905.090,1905.090
396058.504,3988024.511,1905.230,1905.230
396063.186,3988021.504,1905.330,1905.330
396080.155,3988342.224,1905.474,1905.474
396078.016,3988332.375,1905.536,1905.536
396039.288,3988104.555,1905.560,1905.560
396019.094,3988165.151,1905.587,1905.587
396060.875,3988308.051,1905.597,1905.597
396032.936,3988262.342,1905.642,1905.642
396058.800,3988299.803,1905.677,1905.677
396091.195,3988392.305,1905.678,1905.678
396080.389,3988336.940,1905.691,1905.691
396056.714,3988294.931,1905.755,1905.755
396069.734,3988324.760,1905.829,1905.829
396039.904,3988038.237,1905.909,1905.909
396048.173,3988010.287,1906.193,1906.193
396019.264,3988191.864,1906.232,1906.232
396034.148,3988268.039,1906.354,1906.354
396036.267,3988278.919,1906.555,1906.555
396052.810,3988035.227,1906.566,1906.566
396037.167,3988042.663,1906.654,1906.654
396042.292,3988109.417,1906.688,1906.688
396019.586,3988159.787,1906.752,1906.752
396037.653,3988111.448,1906.765,1906.765
396047.870,3988037.640,1906.797,1906.797
396064.256,3988311.909,1906.838,1906.838
396068.390,3988316.283,1906.862,1906.862
396035.412,3988251.924,1907.010,1907.010
396035.471,3988053.437,1907.045,1907.045
396031.704,3988084.142,1907.076,1907.076
396036.843,3988063.241,1907.178,1907.178
396035.648,3988257.498,1907.381,1907.381
396074.843,3988327.989,1907.444,1907.444
396065.440,3988026.253,1907.531,1907.531
396020.603,3988154.880,1907.704,1907.704
396080.526,3988348.017,1907.787,1907.787
396033.553,3988115.166,1908.150,1908.150
396087.663,3988369.508,1908.248,1908.248
396036.430,3988273.835,1908.384,1908.384
396056.918,3988032.160,1908.471,1908.471
396085.968,3988360.677,1908.573,1908.573
396063.204,3988303.421,1908.620,1908.620
396090.847,3988433.638,1908.634,1908.634
396053.786,3988013.579,1908.653,1908.653
396061.225,3988016.600,1908.669,1908.669
396032.411,3988234.811,1908.798,1908.798
396094.072,3988404.965,1908.826,1908.826
396069.268,3988017.546,1908.827,1908.827
396051.321,3988113.901,1908.978,1908.978
396069.257,3988022.629,1908.984,1908.984
396021.534,3988149.503,1909.021,1909.021
396091.012,3988373.586,1909.217,1909.217
396062.300,3988295.681,1909.245,1909.245
396019.007,3988131.818,1909.313,1909.313
396094.322,3988413.388,1909.347,1909.347
396084.897,3988340.249,1909.348,1909.348
396030.150,3988121.100,1909.399,1909.399
396093.859,3988399.667,1909.399,1909.399
396022.146,3988211.680,1909.466,1909.466
396061.796,3988029.841,1909.505,1909.505
396021.360,3988204.960,1909.527,1909.527
396037.655,3988264.179,1909.542,1909.542
396084.804,3988355.730,1909.670,1909.670
396072.007,3988320.127,1909.676,1909.676
396029.644,3988225.171,1909.683,1909.683
396058.967,3988290.439,1909.684,1909.684
396024.514,3988216.573,1909.708,1909.708
396075.347,3987990.429,1909.753,1909.753
396022.755,3988144.342,1909.842,1909.842
396092.069,3988384.565,1909.858,1909.858
396073.314,3987990.868,1909.864,1909.864
396037.003,3988242.776,1910.018,1910.018
396042.249,3988100.152,1910.066,1910.066
396038.175,3988048.072,1910.126,1910.126
396053.771,3988008.555,1910.131,1910.131
396041.728,3988094.644,1910.142,1910.142
396047.613,3988107.251,1910.169,1910.169
396089.689,3988364.806,1910.183,1910.183
396021.722,3988199.817,1910.261,1910.261
396024.170,3988139.520,1910.511,1910.511
396038.800,3988247.872,1910.796,1910.796
396047.300,3988117.153,1910.837,1910.837
396039.241,3988269.321,1910.983,1910.983
396092.334,3988378.675,1911.040,1911.040
396086.017,3988335.331,1911.129,1911.129
396075.835,3987986.170,1911.186,1911.186
396041.950,3988044.174,1911.198,1911.198
396052.433,3988108.625,1911.218,1911.218
396058.367,3987999.880,1911.333,1911.333
396080.227,3987988.701,1911.417,1911.417
396078.228,3987993.906,1911.427,1911.427
396098.071,3988417.924,1911.435,1911.435
396023.266,3988134.560,1911.463,1911.463
396085.447,3988350.502,1911.528,1911.528
396034.750,3988230.250,1911.728,1911.728
396067.431,3988306.767,1911.731,1911.731
396097.557,3988423.119,1911.762,1911.762
396074.644,3988013.977,1911.765,1911.765
396037.281,3988237.504,1911.766,1911.766
396074.109,3988019.027,1911.834,1911.834
396083.412,3988330.301,1911.885,1911.885
396041.252,3988275.395,1911.951,1911.951
396095.772,3988395.010,1911.956,1911.956
396039.435,3988117.295,1911.979,1911.979
396040.346,3988254.271,1912.001,1912.001
396084.967,3988345.298,1912.007,1912.007
396025.320,3988192.783,1912.031,1912.031
396097.155,3988409.076,1912.040,1912.040
396040.522,3988259.643,1912.096,1912.096
396083.348,3987992.647,1912.106,1912.106
396070.548,3988311.332,1912.527,1912.527
396058.512,3988010.297,1912.666,1912.666
396049.192,3988042.545,1912.778,1912.778
396028.072,3988125.736,1912.827,1912.827
396081.089,3988012.160,1912.849,1912.849
396040.363,3988086.670,1912.960,1912.960
396045.406,3988091.191,1913.106,1913.106
396037.937,3988082.174,1913.150,1913.150
396076.752,3988322.257,1913.191,1913.191
396039.259,3988068.164,1913.211,1913.211
396042.146,3988063.679,1913.230,1913.230
396059.852,3988037.148,1913.236,1913.236
396055.371,3988040.402,1913.267,1913.267
396078.919,3988017.185,1913.295,1913.295
396082.028,3987997.844,1913.315,1913.315
396090.448,3988358.448,1913.405,1913.405
396047.749,3988099.039,1913.435,1913.435
396075.252,3988315.928,1913.506,1913.506
396060.073,3988005.253,1913.602,1913.602
396097.067,3988389.187,1913.745,1913.745
396083.922,3988017.929,1913.786,1913.786
396067.904,3988030.711,1913.811,1913.811
396045.620,3988059.941,1913.852,1913.852
396093.641,3988368.714,1913.870,1913.870
396080.501,3988325.986,1913.972,1913.972
396045.351,3988278.798,1914.108,1914.108
396072.570,3988028.087,1914.122,1914.122
396042.614,3988051.375,1914.122,1914.122
396034.128,3988124.406,1914.136,1914.136
396075.381,3988023.944,1914.251,1914.251
396065.296,3988291.228,1914.312,1914.312
396026.989,3988207.015,1914.423,1914.423
396026.605,3988197.967,1914.456,1914.456
396098.916,3988402.605,1914.496,1914.496
396064.491,3988034.488,1914.501,1914.501
396101.085,3988412.486,1914.545,1914.545
396089.718,3988353.258,1914.547,1914.547
396039.136,3988073.352,1914.615,1914.615
396084.701,3988006.789,1914.618,1914.618
396031.970,3988218.909,1914.633,1914.633
396038.688,3988122.312,1914.668,1914.668
396086.169,3988013.005,1914.742,1914.742
396064.121,3988008.675,1914.769,1914.769
396087.614,3987996.578,1914.841,1914.841
396064.334,3988001.734,1914.943,1914.943
396094.161,3988362.014,1915.061,1915.061
396104.822,3988416.380,1915.104,1915.104
396066.968,3988013.075,1915.131,1915.131
396043.548,3988120.577,1915.138,1915.138
396053.003,3988119.754,1915.290,1915.290
396095.992,3988374.398,1915.294,1915.294
396048.678,3988122.344,1915.302,1915.302
396103.333,3988421.594,1915.421,1915.421
396097.232,3988381.188,1915.431,1915.431
396044.246,3988267.297,1915.467,1915.467
396026.827,3988185.624,1915.492,1915.492
396045.700,3988272.604,1915.541,1915.541
396100.425,3988431.658,1915.559,1915.559
396062.695,3988286.927,1915.644,1915.644
396046.128,3988047.565,1915.718,1915.718
396043.955,3988250.160,1915.879,1915.879
396045.410,3988262.051,1915.927,1915.927
396101.761,3988436.514,1916.018,1916.018
396026.767,3988161.392,1916.019,1916.019
396057.342,3988117.082,1916.067,1916.067
396071.089,3988302.739,1916.074,1916.074
396041.000,3988078.176,1916.159,1916.159
396043.289,3988245.201,1916.166,1916.166
396069.303,3988295.453,1916.200,1916.200
396026.802,3988166.636,1916.200,1916.200
396102.460,3988444.705,1916.209,1916.209
396090.133,3988004.472,1916.214,1916.214
396070.144,3988000.787,1916.239,1916.239
396072.019,3988009.388,1916.306,1916.306
396031.913,3988129.571,1916.334,1916.334
396085.522,3988001.556,1916.345,1916.345
396104.142,3988457.932,1916.359,1916.359
396077.094,3988008.849,1916.388,1916.388
396090.325,3988348.020,1916.424,1916.424
396029.190,3988140.943,1916.441,1916.441
396090.356,3987992.316,1916.475,1916.475
396101.372,3988426.713,1916.491,1916.491
396094.956,3988008.354,1916.528,1916.528
396089.996,3988331.922,1916.596,1916.596
396073.861,3988307.364,1916.607,1916.607
396081.085,3988318.799,1916.663,1916.663
396045.491,3988256.479,1916.694,1916.694
396027.849,3988153.785,1916.715,1916.715
396080.591,3988022.068,1916.775,1916.775
396029.619,3988202.382,1916.907,1916.907
396052.884,3988101.880,1916.990,1916.990
396050.791,3988094.864,1916.993,1916.993
396037.417,3988222.041,1917.055,1917.055
396056.009,3988124.440,1917.167,1917.167
396061.339,3988121.934,1917.217,1917.217
396031.089,3988211.879,1917.282,1917.282
396062.050,3988114.534,1917.303,1917.303
396089.173,3988019.233,1917.361,1917.361
396049.936,3988056.708,1917.438,1917.438
396085.020,3988322.626,1917.458,1917.458
396041.442,3988232.003,1917.481,1917.481
396053.187,3988046.436,1917.632,1917.632
396067.934,3988005.412,1917.664,1917.664
396102.900,3988406.814,1917.731,1917.731
396050.752,3988061.773,1917.787,1917.787
396065.401,3988118.610,1917.809,1917.809
396090.992,3988337.855,1917.835,1917.835
396077.238,3988311.123,1917.914,1917.914
396089.740,3988342.901,1917.919,1917.919
396100.990,3988386.038,1917.977,1917.977
396073.866,3988004.424,1917.986,1917.986
396068.505,3988039.003,1918.082,1918.082
396101.696,3988395.148,1918.095,1918.095
396080.047,3988004.431,1918.127,1918.127
396085.946,3988023.096,1918.128,1918.128
396100.334,3988376.967,1918.147,1918.147
396059.466,3988109.834,1918.148,1918.148
396092.101,3987999.564,1918.160,1918.160
396045.840,3988082.028,1918.186,1918.186
396050.699,3988051.285,1918.257,1918.257
396073.536,3988298.250,1918.264,1918.264
396071.634,3988034.919,1918.282,1918.282
396070.440,3988290.438,1918.303,1918.303
396028.483,3988180.684,1918.327,1918.327
396049.753,3988275.617,1918.340,1918.340
396029.779,3988134.246,1918.350,1918.350
396087.522,3988327.044,1918.385,1918.385
396099.747,3988370.530,1918.418,1918.418
396046.972,3988065.226,1918.516,1918.516
396043.991,3988070.087,1918.564,1918.564
396045.608,3988074.974,1918.782,1918.782
396075.648,3988005.384,1918.785,1918.785
396053.015,3988280.355,1918.807,1918.807
396091.169,3988014.411,1918.885,1918.885
396036.905,3988128.717,1918.926,1918.926
396103.870,3988399.994,1919.008,1919.008
396066.750,3988123.950,1919.034,1919.034
396031.290,3988193.749,1919.112,1919.112
396095.419,3988356.306,1919.141,1919.141
396062.276,3988126.847,1919.146,1919.146
396097.861,3988365.678,1919.147,1919.147
396055.551,3988096.994,1919.241,1919.241
396057.666,3988104.053,1919.252,1919.252
396055.236,3988057.679,1919.282,1919.282
396094.765,3988351.318,1919.446,1919.446
396046.756,3988241.275,1919.827,1919.827
396049.990,3988259.432,1919.853,1919.853
396031.434,3988148.031,1919.963,1919.963
396095.552,3988003.228,1919.988,1919.988
396050.706,3988264.486,1920.006,1920.006
396109.402,3988413.701,1920.051,1920.051
396100.976,3988010.060,1920.081,1920.081
396080.312,3988027.118,1920.166,1920.166
396058.844,3988045.418,1920.250,1920.250
396096.013,3988018.319,1920.288,1920.288
396094.206,3988023.036,1920.289,1920.289
396096.792,3988013.046,1920.331,1920.331
396095.230,3988346.337,1920.484,1920.484
396052.378,3988090.111,1920.529,1920.529
396053.723,3988128.987,1920.569,1920.569
396076.332,3988033.157,1920.662,1920.662
396105.949,3988384.500,1920.719,1920.719
396055.751,3988063.502,1920.724,1920.724
396050.992,3988269.513,1920.753,1920.753
396084.298,3988314.788,1920.755,1920.755
396048.156,3988128.108,1920.804,1920.804
396094.902,3987995.284,1920.930,1920.930
396090.150,3988026.099,1920.936,1920.936
396077.948,3988300.916,1921.032,1921.032
396043.497,3988226.648,1921.108,1921.108
396063.531,3988042.683,1921.132,1921.132
396105.347,3988390.074,1921.232,1921.232
396048.700,3988246.036,1921.253,1921.253
396079.686,3988306.359,1921.306,1921.306
396050.096,3988254.136,1921.330,1921.330
396035.538,3988134.217,1921.355,1921.355
396100.664,3988004.824,1921.445,1921.445
396062.156,3988280.503,1921.472,1921.472
396094.718,3988333.982,1921.509,1921.509
396075.219,3988293.014,1921.528,1921.528
396066.656,3988283.741,1921.598,1921.598
396032.284,3988156.136,1921.774,1921.774
396081.793,3988032.209,1921.842,1921.842
396063.124,3988106.149,1921.870,1921.870
396108.505,3988423.484,1921.880,1921.880
396060.636,3988099.358,1921.894,1921.894
396066.486,3988110.284,1921.957,1921.957
396071.895,3988042.978,1921.969,1921.969
396090.621,3987979.375,1921.973,1921.973
396111.370,3988408.933,1921.995,1921.995
396099.894,3988359.348,1922.000,1922.000
396095.422,3987985.901,1922.029,1922.029
396032.114,3988175.958,1922.033,1922.033
396108.024,3988444.410,1922.049,1922.049
396057.542,3988050.648,1922.073,1922.073
396049.679,3988085.894,1922.127,1922.127
396095.318,3987976.941,1922.206,1922.206
396111.607,3988418.899,1922.242,1922.242
396041.107,3988132.240,1922.291,1922.291
396104.863,3988379.400,1922.292,1922.292
396101.821,3988015.575,1922.308,1922.308
396049.864,3988077.719,1922.597,1922.597
396107.857,3988394.765,1922.629,1922.629
396112.619,3988457.160,1922.674,1922.674
396034.627,3988201.645,1922.681,1922.681
396071.614,3988122.516,1922.712,1922.712
396085.588,3988028.300,1922.722,1922.722
396043.584,3988221.193,1922.758,1922.758
396036.517,3988206.541,1922.807,1922.807
396100.376,3988021.771,1922.840,1922.840
396057.477,3988092.174,1922.840,1922.840
396103.033,3988363.665,1922.852,1922.852
396097.247,3987990.705,1922.857,1922.857
396087.915,3988318.278,1922.881,1922.881
396058.028,3988131.606,1922.967,1922.967
396104.367,3988024.896,1922.971,1922.971
396038.532,3988212.486,1922.996,1922.996
396075.164,3988038.987,1923.110,1923.110
396050.051,3988132.811,1923.141,1923.141
396071.646,3988127.623,1923.147,1923.147
396057.395,3988277.033,1923.190,1923.190
396070.066,3988115.729,1923.204,1923.204
396104.718,3988374.318,1923.232,1923.232
396050.686,3988072.446,1923.265,1923.265
396080.277,3988296.169,1923.290,1923.290
396051.671,3988067.385,1923.291,1923.291
396100.461,3988346.992,1923.407,1923.407
396105.538,3988012.216,1923.427,1923.427
396098.838,3987981.444,1923.436,1923.436
396084.854,3988308.071,1923.437,1923.437
396091.059,3988322.950,1923.506,1923.506
396062.856,3988049.229,1923.544,1923.544
396093.030,3988327.572,1923.564,1923.564
396100.251,3988353.715,1923.573,1923.573
396096.012,3988341.256,1923.622,1923.622
396107.221,3988429.582,1923.722,1923.722
396080.289,3988037.356,1923.729,1923.729
396071.655,3988285.448,1923.750,1923.750
396100.746,3987986.221,1923.768,1923.768
396082.827,3988302.112,1923.772,1923.772
396035.459,3988196.671,1923.840,1923.840
396067.658,3988046.237,1923.922,1923.922
396052.864,3988081.850,1923.977,1923.977
396034.279,3988181.902,1924.093,1924.093
396054.966,3988272.552,1924.136,1924.136
396052.593,3988249.784,1924.295,1924.295
396088.407,3988311.818,1924.308,1924.308
396105.416,3988368.113,1924.390,1924.390
396111.418,3988400.121,1924.411,1924.411
396094.477,3988028.624,1924.465,1924.465
396099.681,3988026.771,1924.493,1924.493
396104.059,3987980.934,1924.557,1924.557
396036.641,3988147.125,1924.639,1924.639
396075.694,3988046.433,1924.673,1924.673
396109.211,3988436.530,1924.718,1924.718
396035.431,3988152.230,1924.777,1924.777
396112.801,3988446.919,1924.825,1924.825
396110.450,3988388.198,1924.877,1924.877
396098.163,3988329.428,1924.880,1924.880
396060.696,3988066.609,1924.954,1924.954
396101.248,3987976.561,1924.966,1924.966
396059.830,3988059.997,1924.987,1924.987
396041.700,3988208.451,1925.114,1925.114
396099.122,3988336.934,1925.210,1925.210
396060.977,3988054.550,1925.253,1925.253
396106.581,3988007.273,1925.297,1925.297
396105.040,3988019.718,1925.339,1925.339
396101.743,3987994.503,1925.377,1925.377
396054.639,3988135.664,1925.390,1925.390
396066.090,3988130.734,1925.415,1925.415
396051.072,3988238.162,1925.651,1925.651
396057.436,3988079.355,1925.709,1925.709
396115.621,3988411.591,1925.744,1925.744
396109.197,3988016.143,1925.853,1925.853
396054.782,3988256.179,1925.854,1925.854
396056.526,3988085.803,1925.873,1925.873
396040.368,3988137.359,1925.874,1925.874
396100.339,3987999.585,1925.908,1925.908
396066.762,3988102.636,1925.926,1925.926
396074.845,3988118.324,1925.931,1925.931
396104.812,3988355.999,1925.957,1925.957
396065.366,3988097.729,1925.985,1925.985
396056.519,3988069.624,1925.987,1925.987
396036.714,3988159.344,1925.995,1925.995
396055.254,3988074.719,1925.996,1925.996
396056.122,3988261.340,1926.024,1926.024
396071.283,3988049.775,1926.048,1926.048
396107.177,3987985.036,1926.054,1926.054
396043.660,3988213.129,1926.157,1926.157
396056.856,3988266.594,1926.205,1926.205
396048.466,3988228.065,1926.304,1926.304
396127.769,3988506.244,1926.334,1926.334
396128.935,3988511.423,1926.433,1926.433
396126.736,3988501.052,1926.450,1926.450
396038.704,3988142.335,1926.461,1926.461
396045.697,3988135.276,1926.482,1926.482
396109.770,3988377.066,1926.496,1926.496
396046.604,3988217.190,1926.537,1926.537
396074.909,3988132.778,1926.614,1926.614
396109.367,3988371.929,1926.627,1926.627
396036.078,3988168.213,1926.630,1926.630
396111.924,3988427.220,1926.701,1926.701
396086.298,3988034.615,1926.742,1926.742
396079.014,3988287.029,1926.752,1926.752
396070.791,3988106.739,1926.776,1926.776
396084.341,3988040.670,1926.849,1926.849
396104.168,3988350.436,1926.863,1926.863
396079.860,3988043.114,1926.881,1926.881
396062.371,3988134.220,1926.916,1926.916
396125.683,3988495.398,1926.919,1926.919
396086.080,3988295.506,1926.997,1926.997
396113.882,3988393.071,1927.023,1927.023
396041.491,3988203.450,1927.122,1927.122
396108.483,3988363.755,1927.192,1927.192
396116.253,3988406.014,1927.196,1927.196
396066.725,3988052.745,1927.215,1927.215
396088.518,3988304.468,1927.226,1927.226
396090.474,3988031.636,1927.231,1927.231
396115.100,3988423.160,1927.296,1927.296
396080.299,3988049.870,1927.310,1927.310
396112.094,3988432.370,1927.312,1927.312
396110.477,3988010.871,1927.322,1927.322
396123.023,3988484.980,1927.358,1927.358
396092.207,3988315.600,1927.374,1927.374
396057.787,3988251.755,1927.445,1927.445
396053.511,3988242.569,1927.541,1927.541
396104.842,3987989.549,1927.541,1927.541
396049.082,3988221.804,1927.543,1927.543
396060.986,3988083.251,1927.579,1927.579
396069.644,3988279.281,1927.581,1927.581
396061.241,3988071.584,1927.594,1927.594
396076.625,3988123.048,1927.601,1927.601
396036.924,3988173.753,1927.604,1927.604
396064.936,3988057.853,1927.700,1927.700
396120.305,3988474.394,1927.806,1927.806
396089.067,3988038.785,1927.810,1927.810
396124.786,3988489.905,1927.814,1927.814
396109.178,3988027.971,1927.845,1927.845
396118.655,3988454.877,1927.848,1927.848
396089.195,3988299.488,1927.873,1927.873
396077.202,3988128.173,1927.907,1927.907
396121.584,3988479.510,1927.918,1927.918
396061.838,3988076.715,1927.926,1927.926
396102.413,3988332.596,1928.055,1928.055
396070.045,3988134.151,1928.126,1928.126
396050.307,3988138.962,1928.222,1928.222
396064.885,3988063.382,1928.236,1928.236
396121.632,3988469.376,1928.352,1928.352
396063.693,3988088.331,1928.368,1928.368
396092.821,3988308.715,1928.381,1928.381
396085.056,3988290.512,1928.405,1928.405
396075.985,3988282.678,1928.488,1928.488
396097.855,3988032.329,1928.515,1928.515
396065.766,3988068.721,1928.605,1928.605
396109.929,3988022.602,1928.618,1928.618
396115.567,3988386.111,1928.624,1928.624
396103.565,3988029.953,1928.642,1928.642
396097.286,3988324.454,1928.673,1928.673
396071.699,3988100.854,1928.716,1928.716
396039.885,3988191.846,1928.722,1928.722
396116.862,3988416.445,1928.730,1928.730
396105.375,3988002.370,1928.768,1928.768
396110.176,3987978.165,1928.776,1928.776
396045.177,3988140.267,1928.783,1928.783
396112.569,3988367.580,1928.788,1928.788
396071.251,3988055.452,1928.791,1928.791
396112.562,3987983.330,1928.806,1928.806
396093.612,3988303.713,1928.814,1928.814
396040.574,3988198.493,1928.829,1928.829
396039.073,3988178.560,1928.832,1928.832
396075.546,3988052.762,1928.865,1928.865
396118.155,3988396.419,1928.945,1928.945
396105.977,3987997.300,1928.994,1928.994
396095.388,3988319.535,1929.070,1929.070
396109.409,3988358.816,1929.076,1929.076
396073.530,3988111.773,1929.317,1929.317
396122.092,3988463.886,1929.353,1929.353
396059.780,3988270.788,1929.372,1929.372
396088.672,3988044.276,1929.419,1929.419
396056.626,3988246.795,1929.462,1929.462
396040.243,3988184.115,1929.573,1929.573
396052.603,3988216.109,1929.603,1929.603
396047.398,3988206.915,1929.635,1929.635
396106.053,3988343.743,1929.700,1929.700
396069.873,3988060.451,1929.721,1929.721
396063.952,3988274.655,1929.785,1929.785
396111.029,3987988.313,1929.811,1929.811
396079.040,3988135.699,1929.814,1929.814
396108.996,3987993.190,1929.826,1929.826
396114.534,3988379.558,1929.889,1929.889
396122.274,3988458.659,1929.954,1929.954
396060.811,3988263.096,1929.995,1929.995
396118.117,3988448.757,1929.999,1929.999
396104.075,3988339.055,1930.012,1930.012
396119.311,3988401.848,1930.015,1930.015
396075.444,3988104.618,1930.033,1930.033
396118.239,3988390.363,1930.042,1930.042
396115.265,3988439.878,1930.072,1930.072
396103.480,3988327.534,1930.144,1930.144
396080.438,3988054.911,1930.192,1930.192
396066.112,3988083.761,1930.207,1930.207
396083.944,3988046.026,1930.232,1930.232
396067.246,3988073.597,1930.266,1930.266
396069.696,3988065.619,1930.318,1930.318
396066.899,3988078.764,1930.430,1930.430
396078.226,3988113.985,1930.472,1930.472
396040.905,3988151.534,1930.491,1930.491
396119.236,3988443.873,1930.521,1930.521
396085.365,3988051.612,1930.533,1930.533
396093.667,3988036.016,1930.579,1930.579
396109.389,3988353.176,1930.579,1930.579
396113.713,3988018.816,1930.607,1930.607
396115.500,3988373.168,1930.710,1930.710
396116.923,3988435.159,1930.927,1930.927
396093.462,3988296.300,1930.932,1930.932
396114.090,3988029.163,1930.944,1930.944
396081.393,3988131.013,1930.954,1930.954
396114.965,3988013.780,1931.065,1931.065
396116.456,3988429.875,1931.085,1931.085
396115.644,3987978.993,1931.191,1931.191
396044.353,3988194.732,1931.273,1931.273
396109.078,3988348.169,1931.280,1931.280
