Timestamp,Device_Type,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,Flags,Payload,Activity,Label
2024-05-27 03:56:37.179480,Smart Lock,23.104.53.41,206.89.120.82,44503,30798,UDP,183,SYN,761,receiving data,0
2024-05-27 00:39:07.179480,Smart Lock,125.143.13.62,163.182.184.228,59634,46390,UDP,551,ACK,1186,idle,0
2024-05-27 00:54:04.180479,Smart Lock,193.76.7.45,202.43.21.126,25876,55565,TCP,992,SYN,308,receiving data,1
2024-05-27 20:35:47.180479,Smart Lock,247.142.226.28,144.89.22.107,35709,56173,UDP,1395,ACK,173,idle,1
2024-05-27 09:45:58.180479,Smart Lock,32.221.168.212,114.32.236.57,32941,59704,TCP,365,SYN,54,idle,1
2024-05-27 01:51:32.180479,Smart Lock,92.138.111.72,125.8.179.82,60338,6744,TCP,565,SYN,789,receiving data,1
2024-05-27 00:03:37.180479,Smart Lock,193.186.45.3,51.218.60.82,55911,17972,UDP,1296,SYN,15,idle,0
2024-05-27 04:44:30.180479,Smart Lock,47.187.138.38,133.185.129.24,33244,22149,TCP,766,FIN,1058,receiving data,1
2024-05-27 09:20:22.180479,Smart Lock,224.8.251.251,104.97.164.233,3148,16361,UDP,1011,FIN,1079,idle,1
2024-05-27 06:32:16.180479,Smart Lock,89.146.207.241,169.93.225.155,61054,32537,UDP,882,ACK,770,receiving data,0
2024-05-27 11:35:23.180479,Smart Lock,19.126.199.47,209.145.220.191,52345,58888,TCP,1412,FIN,134,receiving data,1
2024-05-27 04:35:58.180479,Smart Lock,77.214.85.192,110.67.1.227,26163,54504,TCP,1444,SYN,904,sending data,1
2024-05-27 20:05:25.180479,Smart Lock,54.23.31.133,18.104.55.69,54075,20586,TCP,1399,FIN,850,receiving data,0
2024-05-27 12:06:15.180479,Smart Lock,236.228.11.122,252.145.109.16,60909,17752,TCP,1183,RST,395,idle,1
2024-05-26 21:43:00.180479,Smart Lock,5.225.118.178,195.224.124.157,54092,31419,TCP,1465,RST,1372,receiving data,0
2024-05-27 11:26:36.181477,Smart Lock,3.135.144.105,21.221.33.171,35166,19150,TCP,164,ACK,406,sending data,1
2024-05-27 22:35:42.181477,Smart Lock,3.169.52.7,163.52.88.43,44468,63185,TCP,469,,1172,sending data,1
2024-05-27 21:49:36.181477,Smart Lock,236.159.157.99,146.5.203.113,53167,60419,TCP,849,,1389,sending data,1
2024-05-26 23:05:48.181477,Smart Lock,219.138.22.149,53.126.17.245,19414,23642,TCP,378,,1050,receiving data,0
2024-05-26 22:28:58.181477,Smart Lock,95.203.49.210,180.147.130.150,9483,37343,UDP,1465,FIN,1221,sending data,0
2024-05-27 10:16:02.181477,Smart Lock,52.80.147.198,165.225.191.68,54953,21866,TCP,650,ACK,487,receiving data,0
2024-05-27 07:50:15.181477,Smart Lock,57.242.207.89,1.103.17.245,34266,16104,TCP,1352,FIN,692,idle,0
2024-05-27 06:46:09.181477,Smart Lock,197.244.134.30,69.185.153.116,51062,15793,UDP,595,ACK,834,receiving data,1
2024-05-26 22:48:11.181477,Smart Lock,38.131.8.99,128.177.9.172,25200,5928,TCP,836,FIN,573,receiving data,0
2024-05-27 20:48:53.181477,Smart Lock,219.101.105.218,66.166.229.0,42040,22842,UDP,593,,255,idle,1
2024-05-27 09:50:35.181477,Smart Lock,127.115.32.157,206.162.193.246,63786,34151,UDP,309,SYN,940,idle,0
2024-05-27 18:47:10.181477,Smart Lock,214.140.55.155,235.195.37.53,37101,41083,TCP,177,ACK,1010,receiving data,0
2024-05-27 15:08:57.181477,Smart Lock,180.238.15.67,172.28.179.117,19787,39970,TCP,600,FIN,1050,idle,0
2024-05-27 10:13:59.181477,Smart Lock,31.44.217.98,113.141.226.210,48785,32705,UDP,537,ACK,748,idle,1
2024-05-27 12:29:40.181477,Smart Lock,235.161.81.48,40.19.148.118,36255,43252,UDP,841,,1101,receiving data,1
2024-05-27 11:12:54.181477,Smart Lock,112.121.232.73,148.239.236.11,54759,52294,TCP,451,,584,sending data,1
2024-05-27 23:45:47.181477,Smart Lock,82.71.31.171,159.182.212.155,21390,4939,TCP,1271,ACK,1275,sending data,1
2024-05-27 21:31:28.181477,Smart Lock,176.13.54.80,47.37.68.78,53790,8568,UDP,1388,SYN,1025,sending data,1
2024-05-27 23:04:51.181477,Smart Lock,150.87.78.7,223.166.52.225,45303,9032,UDP,686,FIN,733,idle,0
2024-05-27 00:37:23.181477,Smart Lock,168.35.39.202,155.13.133.62,61858,10842,UDP,55,FIN,709,idle,0
2024-05-28 00:44:33.182477,Smart Lock,185.120.136.236,233.97.104.152,63697,9820,TCP,1079,ACK,1247,idle,1
2024-05-27 02:45:18.182477,Smart Lock,199.171.3.215,123.36.46.132,49140,9324,TCP,160,SYN,661,idle,0
2024-05-27 18:22:55.182477,Smart Lock,1.35.75.122,93.16.90.83,3695,20321,TCP,1237,,892,sending data,0
2024-05-27 12:55:33.182477,Smart Lock,13.191.191.66,121.139.95.194,19125,35358,TCP,998,FIN,1009,sending data,0
2024-05-27 22:00:22.182477,Smart Lock,78.40.197.124,209.46.186.185,36620,2470,UDP,190,,453,receiving data,0
2024-05-27 10:48:31.182477,Smart Lock,165.185.74.23,141.55.52.62,26405,12944,TCP,938,ACK,374,receiving data,1
2024-05-27 14:04:38.182477,Smart Lock,140.70.107.43,135.62.231.99,33973,34664,TCP,1491,FIN,45,idle,0
2024-05-27 07:47:28.182477,Smart Lock,98.188.170.233,43.99.242.133,12203,60880,UDP,1442,SYN,1105,sending data,0
2024-05-27 09:55:59.182477,Smart Lock,231.67.91.239,54.80.192.154,1357,25872,UDP,968,,421,idle,0
2024-05-27 18:12:27.182477,Smart Lock,61.24.52.82,102.81.216.18,5691,13252,TCP,857,ACK,764,receiving data,0
2024-05-27 15:38:15.182477,Smart Lock,55.182.56.220,96.224.242.64,52147,2654,UDP,1288,,243,sending data,1
2024-05-27 21:49:50.182477,Smart Lock,253.253.163.189,249.16.75.90,65168,28313,TCP,629,ACK,139,receiving data,1
2024-05-26 21:33:40.182477,Smart Lock,15.174.143.177,113.48.201.209,35904,8219,TCP,985,SYN,384,idle,1
2024-05-27 04:19:40.182477,Smart Lock,218.56.14.121,74.7.125.82,21254,31231,TCP,1010,SYN,754,receiving data,1
2024-05-27 05:52:43.182477,Smart Lock,94.140.254.103,151.251.54.97,42141,23138,TCP,958,SYN,1062,receiving data,1
2024-05-27 05:37:01.182477,Smart Lock,185.100.135.77,18.210.191.238,25317,56285,TCP,690,FIN,1118,idle,1
2024-05-27 09:47:10.182477,Smart Lock,33.145.38.234,196.31.169.246,28959,7592,TCP,57,SYN,1083,idle,0
2024-05-27 06:50:29.182477,Smart Lock,216.159.72.212,159.61.104.244,63533,11136,UDP,1133,SYN,181,idle,0
2024-05-27 01:35:48.182477,Smart Lock,26.74.61.4,216.175.217.15,23702,41369,TCP,1090,SYN,1156,sending data,1
2024-05-27 23:48:27.183479,Smart Lock,103.48.18.67,60.139.178.111,53023,56689,TCP,1271,RST,704,receiving data,1
2024-05-27 02:03:39.183479,Smart Lock,152.210.30.89,31.172.118.63,25174,60040,TCP,59,,1076,receiving data,0
2024-05-27 10:32:46.183479,Smart Lock,74.87.89.245,109.16.179.56,33451,23446,UDP,325,SYN,577,sending data,0
2024-05-27 12:05:29.183479,Smart Lock,112.14.62.186,151.112.235.226,17640,10352,UDP,476,,1178,sending data,1
2024-05-27 08:24:22.183479,Smart Lock,174.120.128.224,170.47.202.108,38529,58447,UDP,105,,894,idle,0
2024-05-27 18:59:00.183479,Smart Lock,91.205.132.220,184.59.173.191,35504,22147,TCP,889,FIN,831,idle,0
2024-05-27 23:05:02.183479,Smart Lock,2.146.118.138,79.175.203.40,21899,54687,TCP,46,ACK,80,sending data,1
2024-05-28 00:18:35.183479,Smart Lock,62.173.125.179,0.189.167.147,39104,26247,UDP,738,RST,619,receiving data,1
2024-05-27 18:07:44.183479,Smart Lock,173.88.65.194,115.124.126.135,59659,47681,UDP,393,FIN,65,idle,0
2024-05-27 03:44:47.183479,Smart Lock,10.168.244.186,34.111.101.199,46441,61651,TCP,277,,988,sending data,0
2024-05-27 15:52:27.183479,Smart Lock,66.244.219.94,145.163.106.242,51243,41690,UDP,1069,ACK,31,sending data,0
2024-05-26 23:50:39.183479,Smart Lock,26.81.217.30,241.9.167.120,57079,15654,TCP,1129,SYN,707,receiving data,1
2024-05-27 04:31:14.183479,Smart Lock,44.37.47.173,81.108.115.123,54628,54545,UDP,322,RST,932,receiving data,1
2024-05-26 21:16:15.183479,Smart Lock,111.161.216.244,200.66.108.183,37854,38936,UDP,673,ACK,221,idle,1
2024-05-27 15:17:33.183479,Smart Lock,23.223.54.31,158.127.144.133,57194,11814,TCP,331,,578,sending data,0
2024-05-27 10:15:59.183479,Smart Lock,83.72.206.23,49.211.66.242,61150,6640,UDP,186,ACK,1252,receiving data,0
2024-05-28 00:26:04.183479,Smart Lock,60.58.122.109,106.155.109.190,5272,49043,UDP,974,RST,1311,sending data,0
2024-05-27 00:54:59.183479,Smart Lock,250.234.175.220,56.27.227.89,56287,34428,TCP,1498,SYN,276,sending data,1
2024-05-27 11:02:26.183479,Smart Lock,135.35.45.14,181.202.223.38,9638,41283,UDP,682,ACK,1080,idle,0
2024-05-27 01:18:49.183479,Smart Lock,0.167.164.211,242.27.76.212,2036,49928,UDP,1191,FIN,574,sending data,1
2024-05-27 11:23:55.183479,Smart Lock,33.239.45.168,92.203.100.22,59589,17868,TCP,639,SYN,656,receiving data,0
2024-05-27 21:57:54.183479,Smart Lock,204.151.231.245,43.209.145.58,41531,30046,UDP,1499,ACK,64,idle,1
2024-05-26 23:02:45.183479,Smart Lock,73.96.87.210,53.105.105.206,60935,11516,TCP,135,FIN,208,sending data,1
2024-05-27 12:11:52.184475,Smart Lock,54.18.73.19,122.167.126.118,1321,24275,TCP,494,RST,1391,idle,0
2024-05-27 07:42:35.184475,Smart Lock,96.46.93.159,35.135.51.130,57659,61607,TCP,1110,ACK,1277,receiving data,1
2024-05-27 11:02:24.184475,Smart Lock,211.143.63.212,97.139.63.7,48751,43121,TCP,956,ACK,300,idle,0
2024-05-27 19:12:57.184475,Smart Lock,243.27.89.114,166.188.119.247,30186,50130,TCP,1290,ACK,823,sending data,0
2024-05-27 20:44:14.184475,Smart Lock,5.1.71.175,13.252.188.127,36310,55511,UDP,1144,ACK,557,idle,1
2024-05-27 05:24:39.184475,Smart Lock,80.43.110.62,183.149.38.161,6941,7745,UDP,834,,500,receiving data,1
2024-05-27 02:16:29.184475,Smart Lock,131.201.133.236,84.117.220.74,30467,45591,TCP,113,SYN,228,sending data,0
2024-05-27 02:36:40.184475,Smart Lock,103.191.14.136,20.185.227.197,34347,49986,TCP,950,SYN,949,idle,0
2024-05-27 05:54:50.184475,Smart Lock,109.118.55.210,50.41.48.88,26505,36983,UDP,1226,,1207,idle,0
2024-05-27 19:50:25.184475,Smart Lock,140.38.107.199,69.237.45.7,28674,26580,UDP,410,ACK,143,sending data,0
2024-05-27 00:46:42.184475,Smart Lock,155.189.110.181,211.39.10.87,11419,54378,UDP,1047,FIN,387,sending data,0
2024-05-27 14:18:14.184475,Smart Lock,99.169.17.74,12.128.136.154,16935,45915,UDP,1498,FIN,544,sending data,1
2024-05-26 21:09:17.184475,Smart Lock,69.52.114.221,178.234.216.247,23316,11763,TCP,356,,1382,sending data,0
2024-05-27 02:28:15.184475,Smart Lock,222.33.3.89,176.239.137.85,26625,39915,TCP,1422,SYN,953,sending data,1
2024-05-27 08:16:40.184475,Smart Lock,56.72.155.65,242.143.181.182,11747,53923,TCP,1315,ACK,85,idle,0
2024-05-27 20:13:47.184475,Smart Lock,34.56.176.240,62.125.33.245,21657,2640,UDP,700,,965,idle,1
2024-05-28 00:16:51.184475,Smart Lock,89.161.133.116,155.250.185.28,60688,19293,UDP,219,RST,1020,sending data,1
2024-05-26 21:32:30.184475,Smart Lock,1.52.188.148,71.5.6.114,30596,39605,UDP,577,,1117,idle,0
2024-05-27 17:01:59.185476,Smart Lock,50.116.166.243,20.240.123.183,61781,40450,UDP,85,SYN,154,receiving data,0
2024-05-27 06:58:52.185476,Smart Lock,155.74.97.23,2.239.50.40,48483,53899,TCP,382,,1130,receiving data,1
2024-05-27 01:36:07.185476,Smart Lock,95.129.143.137,79.230.205.240,22584,64004,TCP,1201,SYN,410,sending data,0
2024-05-27 21:16:57.185476,Smart Lock,146.162.221.149,14.33.163.65,36429,60020,TCP,848,SYN,375,idle,0
2024-05-27 11:31:54.185476,Smart Lock,253.78.169.81,121.218.104.226,47310,5390,UDP,990,ACK,15,sending data,0
2024-05-27 15:25:48.185476,Smart Lock,226.125.241.218,207.68.50.171,21441,8104,TCP,920,FIN,582,sending data,1
2024-05-26 23:53:25.185476,Smart Lock,195.199.58.242,22.232.32.57,12272,1697,UDP,675,RST,831,sending data,1
2024-05-26 22:30:55.185476,Smart Lock,21.64.68.249,172.220.134.227,64990,15537,TCP,1373,ACK,1025,receiving data,0
2024-05-26 21:19:49.185476,Smart Lock,213.2.67.108,108.187.151.136,34892,49171,UDP,512,RST,677,idle,1
2024-05-27 17:05:52.185476,Smart Lock,188.21.124.224,179.71.219.218,7359,3542,UDP,1083,SYN,452,receiving data,1
2024-05-27 10:04:11.185476,Smart Lock,86.172.36.90,166.232.194.14,64960,31830,TCP,400,SYN,275,receiving data,0
2024-05-27 08:15:14.185476,Smart Lock,32.63.48.126,216.248.97.205,47064,5632,UDP,1122,SYN,1167,sending data,0
2024-05-26 21:35:10.185476,Smart Lock,94.161.163.99,3.180.162.189,3745,37418,TCP,128,ACK,61,idle,0
2024-05-27 09:12:45.185476,Smart Lock,232.254.66.134,102.148.219.246,4851,8121,UDP,1368,FIN,163,sending data,0
2024-05-27 18:29:14.186475,Smart Lock,54.159.180.44,56.2.100.29,1683,55645,UDP,1014,FIN,94,sending data,1
2024-05-27 05:41:58.186475,Smart Lock,219.169.220.25,16.4.236.255,37640,33205,UDP,1197,ACK,225,idle,1
2024-05-26 21:47:18.186475,Smart Lock,254.11.2.251,163.213.37.94,53554,56849,UDP,940,RST,900,sending data,1
2024-05-27 05:25:53.186475,Smart Lock,254.122.57.80,213.32.241.61,27336,45480,TCP,1471,FIN,613,sending data,1
2024-05-27 21:52:06.186475,Smart Lock,138.192.134.82,206.86.20.60,8394,29127,UDP,187,ACK,100,sending data,0
2024-05-27 20:04:54.186475,Smart Lock,9.188.253.170,33.57.72.71,54530,49155,TCP,678,ACK,357,receiving data,1
2024-05-27 09:35:10.186475,Smart Lock,164.240.210.26,139.81.126.130,38627,21299,TCP,630,ACK,666,idle,0
2024-05-27 02:21:31.186475,Smart Lock,51.221.121.38,118.123.253.113,59030,10232,UDP,74,FIN,568,sending data,0
2024-05-27 11:45:58.186475,Smart Lock,103.133.245.14,174.190.231.133,7633,10394,TCP,498,,1181,idle,0
2024-05-27 23:09:08.186475,Smart Lock,152.190.179.230,178.244.88.178,29194,61579,TCP,944,RST,1156,sending data,1
2024-05-27 21:23:57.186475,Smart Lock,41.123.210.7,56.139.149.253,21014,51806,TCP,925,SYN,351,receiving data,1
2024-05-27 08:29:06.186475,Smart Lock,78.236.117.230,85.206.3.90,57276,54244,UDP,540,,1282,receiving data,1
2024-05-27 11:49:54.186475,Smart Lock,57.236.20.243,116.8.80.178,7040,22906,UDP,228,,1211,idle,1
2024-05-27 02:55:05.186475,Smart Lock,151.162.9.195,2.31.26.201,52039,57733,TCP,584,ACK,623,receiving data,1
2024-05-28 00:05:12.186475,Smart Lock,124.77.115.111,14.192.37.122,37341,24999,TCP,508,SYN,418,idle,0
2024-05-26 22:36:15.186475,Smart Lock,90.233.215.199,227.61.13.43,49750,25641,UDP,765,,1192,sending data,0
2024-05-27 00:45:35.186475,Smart Lock,37.88.35.149,230.98.229.209,37089,23967,TCP,903,,285,idle,0
2024-05-27 13:44:43.187474,Smart Lock,227.104.91.96,18.93.104.68,63662,41607,TCP,1131,SYN,655,sending data,0
2024-05-27 03:58:41.187474,Smart Lock,199.170.153.190,218.76.191.136,23947,63890,TCP,1176,ACK,66,sending data,1
2024-05-27 21:37:01.187474,Smart Lock,148.26.122.132,55.75.60.0,63195,47041,TCP,518,SYN,286,idle,0
2024-05-27 00:45:41.187474,Smart Lock,113.51.213.152,71.58.137.184,24875,50761,TCP,989,RST,204,idle,1
2024-05-27 14:56:40.187474,Smart Lock,108.63.110.109,173.80.193.171,61375,37682,TCP,1074,,1172,idle,0
2024-05-28 00:19:32.187474,Smart Lock,49.240.94.224,23.165.162.116,17950,44324,UDP,921,RST,1370,idle,1
2024-05-27 02:11:42.187474,Smart Lock,216.43.107.169,162.84.43.37,45365,42586,UDP,836,,1216,receiving data,1
2024-05-27 17:05:00.187474,Smart Lock,34.141.25.137,1.213.64.45,51980,40178,UDP,679,,1298,idle,1
2024-05-28 00:35:01.187474,Smart Lock,229.143.154.149,138.162.106.167,56282,16516,UDP,1020,SYN,132,idle,0
2024-05-27 01:37:05.187474,Smart Lock,207.154.228.8,89.42.74.119,47238,25125,UDP,1175,ACK,428,sending data,0
2024-05-27 17:59:31.187474,Smart Lock,173.8.139.177,69.125.23.47,12440,41755,TCP,859,RST,225,sending data,0
2024-05-27 22:55:09.187474,Smart Lock,129.32.155.149,76.71.49.5,49917,19382,UDP,310,FIN,179,sending data,0
2024-05-27 21:02:31.187474,Smart Lock,122.97.251.170,107.219.35.135,7230,50161,UDP,1260,ACK,288,idle,0
2024-05-27 06:46:56.187474,Smart Lock,125.162.11.100,150.198.161.121,4052,33915,UDP,268,FIN,1243,receiving data,1
2024-05-27 02:06:59.187474,Smart Lock,106.125.207.91,242.71.183.27,63130,15821,UDP,329,FIN,323,idle,0
2024-05-27 22:19:59.187474,Smart Lock,208.229.214.125,55.78.218.83,50462,35466,TCP,1110,SYN,791,idle,0
2024-05-27 13:42:13.187474,Smart Lock,215.3.90.76,187.37.42.222,34518,48636,UDP,672,SYN,737,idle,1
2024-05-27 06:45:25.187474,Smart Lock,50.44.254.234,98.1.157.166,37822,13015,UDP,1203,RST,658,receiving data,1
2024-05-26 23:59:00.187474,Smart Lock,65.96.186.94,194.41.118.73,42997,35588,UDP,1286,RST,462,sending data,1
2024-05-27 01:13:41.187474,Smart Lock,41.137.39.13,22.210.249.208,61981,53164,UDP,356,ACK,243,receiving data,1
2024-05-26 22:21:35.187474,Smart Lock,109.205.192.226,79.113.74.150,35544,59373,TCP,641,RST,911,sending data,0
2024-05-27 16:59:24.187474,Smart Lock,139.43.222.141,105.63.183.147,38227,25307,UDP,133,RST,814,sending data,0
2024-05-27 01:36:29.188472,Smart Lock,62.131.158.163,33.140.148.250,54482,50199,UDP,478,SYN,248,sending data,1
2024-05-27 01:44:58.188472,Smart Lock,228.62.191.90,199.38.12.47,50437,13206,UDP,222,,193,sending data,1
2024-05-27 09:29:46.188472,Smart Lock,97.76.233.67,6.37.150.111,12840,24420,UDP,457,FIN,763,receiving data,1
2024-05-27 14:42:52.188472,Smart Lock,166.254.249.92,88.193.18.176,28103,53857,TCP,774,,695,receiving data,0
2024-05-26 23:36:36.188472,Smart Lock,80.19.147.78,100.165.124.129,64990,48773,TCP,261,,1016,receiving data,1
2024-05-27 12:51:19.188472,Smart Lock,10.20.156.231,156.21.108.217,14200,32508,UDP,1265,SYN,401,idle,1
2024-05-27 04:39:01.188472,Smart Lock,152.96.254.169,255.104.162.249,12137,42604,TCP,294,ACK,555,idle,1
2024-05-27 15:42:41.188472,Smart Lock,39.73.209.192,20.250.252.139,38526,1475,TCP,432,,660,receiving data,1
2024-05-27 17:53:52.188472,Smart Lock,58.134.1.26,181.119.146.163,3282,32043,UDP,772,SYN,914,sending data,0
2024-05-27 17:10:19.188472,Smart Lock,178.242.200.156,251.131.185.0,55409,31317,TCP,295,,1299,sending data,0
2024-05-27 20:13:18.188472,Smart Lock,27.63.195.163,200.96.254.35,63733,47502,TCP,858,ACK,860,sending data,0
2024-05-27 17:32:31.188472,Smart Lock,32.23.125.130,148.140.159.120,21067,14933,UDP,421,ACK,995,sending data,1
2024-05-27 10:37:22.188472,Smart Lock,196.44.55.126,193.45.53.46,17107,13522,TCP,988,ACK,696,receiving data,1
2024-05-27 15:56:45.188472,Smart Lock,165.180.62.198,59.77.173.89,13008,51615,UDP,966,RST,387,sending data,1
2024-05-27 00:42:47.188472,Smart Lock,143.251.8.36,116.132.86.210,7293,33168,UDP,1180,,1258,receiving data,1
2024-05-27 15:29:14.188472,Smart Lock,105.75.186.117,28.136.3.115,2709,24501,UDP,1104,ACK,870,sending data,0
2024-05-27 02:59:19.188472,Smart Lock,30.182.186.154,29.182.75.91,11841,48183,UDP,1094,,154,receiving data,1
2024-05-27 05:25:43.188472,Smart Lock,75.221.73.211,204.118.124.228,56905,6259,UDP,1015,SYN,906,sending data,0
2024-05-27 21:59:40.188472,Smart Lock,226.192.124.84,253.84.70.102,3938,47703,UDP,996,FIN,1282,receiving data,1
2024-05-27 09:20:52.188472,Smart Lock,223.184.109.219,236.118.174.242,16703,62529,TCP,616,SYN,304,receiving data,1
2024-05-27 17:36:16.188472,Smart Lock,157.71.141.103,35.189.225.55,47392,46699,UDP,1107,SYN,612,idle,0
2024-05-27 22:25:32.188472,Smart Lock,33.209.84.150,102.22.153.227,45273,16632,TCP,770,,975,idle,1
2024-05-27 19:05:56.188472,Smart Lock,104.158.128.12,128.206.97.96,61311,29481,UDP,1059,,1056,sending data,0
2024-05-27 14:53:40.189472,Smart Lock,90.5.56.156,73.228.55.155,1887,23851,TCP,1061,SYN,729,sending data,1
2024-05-27 06:34:00.189472,Smart Lock,144.50.200.90,65.218.243.129,19237,2583,TCP,1383,SYN,85,sending data,0
2024-05-26 22:52:35.189472,Smart Lock,197.207.25.1,204.124.157.83,46772,30679,TCP,606,ACK,1157,receiving data,1
2024-05-27 14:16:25.189472,Smart Lock,209.169.54.132,1.151.26.126,40556,1596,TCP,312,SYN,715,receiving data,0
2024-05-27 17:29:17.189472,Smart Lock,87.197.148.74,148.57.39.194,26656,25855,TCP,604,RST,375,receiving data,0
2024-05-27 21:21:33.189472,Smart Lock,230.218.154.173,82.176.69.9,44607,48864,TCP,842,,1393,sending data,0
2024-05-27 06:46:45.189472,Smart Lock,98.193.237.251,207.98.205.79,28629,2531,UDP,1300,,558,idle,1
2024-05-27 05:45:32.189472,Smart Lock,35.209.127.122,221.175.232.208,52750,50566,UDP,538,SYN,541,idle,0
2024-05-27 08:37:41.189472,Smart Lock,4.63.116.160,253.184.243.176,34201,16367,TCP,921,,1107,receiving data,1
2024-05-27 01:35:25.189472,Smart Lock,211.233.109.98,47.114.247.41,58426,34956,UDP,833,ACK,1021,idle,0
2024-05-27 04:13:10.189472,Smart Lock,49.119.137.250,89.30.192.33,58848,54604,TCP,156,RST,23,idle,0
2024-05-27 03:40:17.189472,Smart Lock,184.101.240.117,8.22.253.145,24920,4194,UDP,743,FIN,1183,idle,0
2024-05-27 13:53:10.189472,Smart Lock,44.245.174.78,161.223.3.169,22120,40822,TCP,339,ACK,1267,sending data,0
2024-05-27 11:37:33.189472,Smart Lock,129.143.21.112,88.68.185.147,9099,49556,UDP,991,ACK,826,idle,1
2024-05-27 10:34:19.189472,Smart Lock,42.250.16.101,53.241.2.79,44936,51754,UDP,550,,883,sending data,1
2024-05-27 23:04:12.189472,Smart Lock,231.235.98.194,116.4.106.185,58161,52713,UDP,882,ACK,15,receiving data,0
2024-05-27 17:52:12.189472,Smart Lock,65.236.143.74,47.161.171.244,62062,27118,TCP,303,,1135,sending data,1
2024-05-27 03:33:00.189472,Smart Lock,199.211.22.179,33.50.60.163,49821,59257,UDP,137,FIN,1025,receiving data,1
2024-05-27 03:43:58.189472,Smart Lock,73.197.129.234,107.100.99.174,48222,2319,TCP,123,,1025,receiving data,1
2024-05-27 06:29:32.189472,Smart Lock,40.149.18.41,68.60.74.245,47780,16591,TCP,115,RST,1034,receiving data,0
2024-05-27 02:55:57.189472,Smart Lock,133.195.147.57,74.175.173.51,52343,48448,TCP,1357,SYN,193,receiving data,0
2024-05-27 17:55:05.189472,Smart Lock,222.99.240.18,50.203.113.12,19101,37207,TCP,968,SYN,961,idle,0
2024-05-27 21:46:48.189472,Smart Lock,61.47.121.231,203.151.123.53,44408,10167,TCP,464,RST,680,receiving data,0
2024-05-27 17:38:24.190473,Smart Lock,67.156.251.240,124.205.153.224,39251,17900,TCP,958,FIN,1174,sending data,0
2024-05-27 20:12:25.190473,Smart Lock,220.89.72.21,225.154.133.169,45513,18020,UDP,52,RST,1248,sending data,1
